Structure [idcode]	Molecule Name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Polar Surface Area	Mutagenic	Tumorigenic	Irritant	Non-H Atoms	Stereo Centers	Rotatable Bonds	Smiles	InChI	InChI-Key	
ejZRJ@HJKA`PDIJg`YrJISIQSQIJKQVYQFZYPHijjfB`jFjjjjhXpbd\STnWt@@	5er1	521.720	-1.5272	-3.823	9	5	425.83	144.4	none	none	none	37	6	17	CC[C@H](C)[C@@H](C(N[C@@H](Cc1ccccc1)C(OC)=O)=O)NC([C@H](C(C)C)NC[C@@H]([C@H](CC(C)C)[NH3+])O)=O	InChI=1S/C28H48N4O5/c1-8-19(6)25(27(35)31-22(28(36)37-7)15-20-12-10-9-11-13-20)32-26(34)24(18(4)5)30-16-23(33)21(29)14-17(2)3/h9-13,17-19,21-25,30,33H,8,14-16,29H2,1-7H3,(H,31,35)(H,32,34)/p+1/t19-,21-,22-,23-,24-,25-/m0/s1	JAELWYBMQVXTOC-ACUVNOOJSA-O	
elVRL@HDGJf`KCjirJIQQIQQSKQSYWJZIIPIKjYZEEjB`AhBfJi`@BHBD@@	1eb2	469.563	2.9737	-3.821	7	3	346.41	118.09	none	none	none	35	1	7	NC(c1cccc(C(N[C@@H](C(N(CC2)CCC2C(c2ccccc2)=O)=O)c2ccccc2)=O)c1)=[NH2+]	InChI=1S/C28H28N4O3/c29-26(30)22-12-7-13-23(18-22)27(34)31-24(19-8-3-1-4-9-19)28(35)32-16-14-21(15-17-32)25(33)20-10-5-2-6-11-20/h1-13,18,21,24H,14-17H2,(H3,29,30)(H,31,34)/p+1/t24-/m1/s1	SEXVRUMCMJFNTJ-XMMPIXPASA-O	
ei[ZBDHLG@aaXDIe`@`hHBgIICEEDdheEhTeHdxiddmkLo@nklVZ^Uj`jBhB`eh@@@H`DJEI@@	2r43	592.763	2.3868	-4.011	9	3	421.62	160.17	none	none	none	41	2	8	Nc(cc1)ccc1S(N(Cc1ccccc1)[C@@H](C[NH2+]C1)[C@H]1N(Cc1ccccc1)S(c(cc1)ccc1N)(=O)=O)(=O)=O	InChI=1S/C30H33N5O4S2/c31-25-11-15-27(16-12-25)40(36,37)34(21-23-7-3-1-4-8-23)29-19-33-20-30(29)35(22-24-9-5-2-6-10-24)41(38,39)28-17-13-26(32)14-18-28/h1-18,29-30,33H,19-22,31-32H2/p+1/t29-,30-/m0/s1	XDDOZTWMJWWMBF-KYJUHHDHSA-O	
fjm`HDH`pIVg^KF\dTTRbRfLQaiJJZjjjjjjhTHbDUErRQdE@@	2bvd	310.322	-3.7153	0.32	9	7	207.38	156.45	none	none	none	21	8	4	OC[C@@H](C[NH2+]C[C@H]1O[C@@H]([C@@H]([C@H]2O)O)O[C@H](CO)[C@H]2O)[C@H]1O	InChI=1S/C12H23NO8/c14-3-5-1-13-2-6(8(5)16)20-12-11(19)10(18)9(17)7(4-15)21-12/h5-19H,1-4H2/p+1/t5-,6-,7-,8-,9+,10-,11-,12-/m1/s1	BEXVSXHKIARRKH-RGXJTGTOSA-O	
gNxhmV@cR~RVzjZI@	1ssq	121.160	-2.9348	-1.063	3	1	88.63	106.57	none	none	none	7	1	2	[NH3+][C@@H](CS)C([O-])=O	InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1	XUJNEKJLAYXESH-REOHCLBHSA-N	
dcm@bIT@bYRfYV|X]hIAb@@	1c5s	177.250	1.8515	-2.234	2	2	115.88	79.85	none	none	none	12	0	1	NC(c1cc(cccc2)c2s1)=[NH2+]	InChI=1S/C9H8N2S/c10-9(11)8-5-6-3-1-2-4-7(6)12-8/h1-5H,(H3,10,11)/p+1	JZWDLUGQTRKBNA-UHFFFAOYSA-O	
enY\N@DFMo`DGLbg`TNJ{HihheEhihmEEUmDhibdaMDjnif``hA`F@bjYjj@`VP@	1nl9	531.563	-1.8277	-6.273	10	2	410.47	158.77	high	high	none	39	1	12	CCCCCNC([C@H](Cc(c1ccccc11)ccc1N(C(C([O-])=O)=O)c(cccc1)c1C([O-])=O)NC(C)=O)=O	InChI=1S/C29H31N3O7/c1-3-4-9-16-30-26(34)23(31-18(2)33)17-19-14-15-25(21-11-6-5-10-20(19)21)32(27(35)29(38)39)24-13-8-7-12-22(24)28(36)37/h5-8,10-15,23H,3-4,9,16-17H2,1-2H3,(H,30,34)(H,31,33)(H,36,37)(H,38,39)/p-2/t23-/m0/s1	UESXELNYBIOROE-QHCPKHFHSA-L	
eb^ZN@JHDld\PDCAikghIPz[gnQgHihheEhcDihdhdcDjhIhxDuu|BtD@DDSUSPLDpAAD`@	1o36	488.435	-2.6688	-5.582	12	4	334.63	226.6	none	none	none	36	1	8	NC(c(cc1)cc2c1nc(-c1cc([C@@H](CC([O-])=O)C([O-])=O)cc(-c(cccc3)c3[N+]([O-])=O)c1O)[nH]2)=[NH2+]	InChI=1S/C24H19N5O7/c25-22(26)11-5-6-17-18(9-11)28-23(27-17)16-8-12(14(24(33)34)10-20(30)31)7-15(21(16)32)13-3-1-2-4-19(13)29(35)36/h1-9,14,32H,10H2,(H3,25,26)(H,27,28)(H,30,31)(H,33,34)/p-1/t14-/m1/s1	PFMNUTNXLWAKMB-CQSZACIVSA-M	
few`HFH@QzJ\}gBT\glbfbbTTRTTtRQPiFBVk^m@@DACPUPD@@	1fv0	356.265	0.2316	-5.734	9	1	240.28	133.87	high	high	none	26	0	3	COc1c(cc(c(c2c3OCOc3c3)c3C([O-])=O)[N+]([O-])=O)c2ccc1O	InChI=1S/C17H11NO8/c1-24-15-8-4-10(18(22)23)13-9(17(20)21)5-12-16(26-6-25-12)14(13)7(8)2-3-11(15)19/h2-5,19H,6H2,1H3,(H,20,21)/p-1	UCLGCTLOEZZSLA-UHFFFAOYSA-M	
ee[^BDHLGFmd\^XDKBP@adHQgIIBhhheDhcDhXdiejhiXdYDetl|KJmPT@tAUEUUTsSPRaPld@@	1a4w	614.814	2.8889	-4.564	11	4	441.86	199.94	high	high	none	42	2	12	CN(C)c1c(cccc2S(N[C@@H](CCCNC(N)=[NH2+])C(N3[C@@H](CCC(c4nccs4)=O)CCCC3)=O)(=O)=O)c2ccc1	InChI=1S/C29H39N7O4S2/c1-35(2)24-12-5-10-22-21(24)9-6-13-26(22)42(39,40)34-23(11-7-16-33-29(30)31)28(38)36-18-4-3-8-20(36)14-15-25(37)27-32-17-19-41-27/h5-6,9-10,12-13,17,19-20,23,34H,3-4,7-8,11,14-16,18H2,1-2H3,(H4,30,31,33)/p+1/t20-,23+/m1/s1	KACDHMPRLCAESX-OFNKIYASSA-O	
eg`RLHHLKCkhDC@@`z\ddJbbRbQbbRRvafgcTpvruAPMEATECDPTH@	1pph	429.563	2.684	-2.656	7	3	307.01	126.47	none	none	none	30	1	6	Cc(cc1)ccc1S(N[C@@H](Cc1cc(C(N)=[NH2+])ccc1)C(N1CCCCC1)=O)(=O)=O	InChI=1S/C22H28N4O3S/c1-16-8-10-19(11-9-16)30(28,29)25-20(22(27)26-12-3-2-4-13-26)15-17-6-5-7-18(14-17)21(23)24/h5-11,14,20,25H,2-4,12-13,15H2,1H3,(H3,23,24)/p+1/t20-/m0/s1	RNNMXTSTLVYYQG-FQEVSTJZSA-O	
fdypbDLFcA@@`tyIHUDhdhlmN}EZ``HB@@@	1yds	266.344	-0.8129	-1.765	5	2	194.18	84.05	none	none	none	18	0	4	C[NH2+]CCNS(c1cccc2cnccc12)(=O)=O	InChI=1S/C12H15N3O2S/c1-13-7-8-15-18(16,17)12-4-2-3-10-9-14-6-5-11(10)12/h2-6,9,13,15H,7-8H2,1H3/p+1	PJWUXKNZVMEPPH-UHFFFAOYSA-O	
fcoI@DAsWl@yRYfUV{U_VZVhesVeji`hEJVjHDLH	1v2n	375.494	2.6949	-4.77	5	5	285.03	123.88	none	none	none	28	0	3	NC(c1ccc(/C=C(/CCCC2)\C(O)=C2C=C(C=C2)C=CC2=C(N)N)cc1)=[NH2+]	InChI=1S/C23H26N4O/c24-22(25)17-9-5-15(6-10-17)13-19-3-1-2-4-20(21(19)28)14-16-7-11-18(12-8-16)23(26)27/h5-14,28H,1-4,24-25H2,(H3,26,27)/p+1	SQOGTTHMUJKCJP-UHFFFAOYSA-O	
figI@@LTUhFQIJIQIPqIJKKBUjrZ}GU@DTa@@@P@@@	2brm	330.390	3.3061	-6.224	5	3	259.8	73.83	none	none	none	25	0	5	OCCNc1ncnc2c1c(-c1ccccc1)c(-c1ccccc1)[nH]2	InChI=1S/C20H18N4O/c25-12-11-21-19-17-16(14-7-3-1-4-8-14)18(15-9-5-2-6-10-15)24-20(17)23-13-22-19/h1-10,13,25H,11-12H2,(H2,21,22,23,24)	MPJYGQHMIFDQIN-UHFFFAOYSA-N	
fdyh`@HLxHpJYDhhhdTidnJCE``hjjb@@	1e1x	251.289	1.2643	-4.24	7	2	197.18	116.48	high	high	none	18	0	4	Nc1nc(N)nc(OCC2CCCCC2)c1N=O	InChI=1S/C11H17N5O2/c12-9-8(16-17)10(15-11(13)14-9)18-6-7-4-2-1-3-5-7/h7H,1-6H2,(H4,12,13,14,15)	DGWXOLHKVGDQLN-UHFFFAOYSA-N	
ekXzFDHLG@ocXDIegmP@`hHBgIICEEDdheEhTeHehXiTdmmKLo@nkjQ^YUj`jBhB`ehX@@@fHABaRP@	2r3t	648.783	1.916	-4.037	11	3	457.12	194.31	none	none	none	45	2	10	NC(c(cc1)ccc1S(N(Cc1ccccc1)[C@@H](C[NH2+]C1)[C@H]1N(Cc1ccccc1)S(c(cc1)ccc1C(N)=O)(=O)=O)(=O)=O)=O	InChI=1S/C32H33N5O6S2/c33-31(38)25-11-15-27(16-12-25)44(40,41)36(21-23-7-3-1-4-8-23)29-19-35-20-30(29)37(22-24-9-5-2-6-10-24)45(42,43)28-17-13-26(14-18-28)32(34)39/h1-18,29-30,35H,19-22H2,(H2,33,38)(H2,34,39)/p+1/t29-,30-/m0/s1	SSQKDDJMCKLBOH-KYJUHHDHSA-O	
fcoIRAEZWl`XuZCDIt^[ryrJJKQJZIJIHqJjLD{wQpPQMUM@pS@Pd`@	1o2w	445.228	-4.2592	-3.87	9	3	271.01	183.61	none	none	none	28	1	6	NC(c(cc1)cc2c1nc(-c1cc([C@@H](CC([O-])=O)C([O-])=O)cc(Br)c1[O-])[nH]2)=[NH2+]	InChI=1S/C18H15BrN4O5/c19-11-4-8(9(18(27)28)6-14(24)25)3-10(15(11)26)17-22-12-2-1-7(16(20)21)5-13(12)23-17/h1-5,9,26H,6H2,(H3,20,21)(H,22,23)(H,24,25)(H,27,28)/p-2/t9-/m1/s1	SJMNJNRKVVVGRB-SECBINFHSA-L	
e`\ZJ@LIEmck`DAEHdNbyZ\bfbRbVTTTRVRabeWDfSUTswsPAEPA@APsT@`@@	1qbn	430.399	-1.4584	-6.411	10	3	304.52	174.83	none	none	none	32	0	7	NC(c(cc1)cc(Oc2nc(Oc3cc(-c4ncc[nH]4)ccc3)cc(C([O-])=O)c2)c1[O-])=[NH2+]	InChI=1S/C22H17N5O5/c23-20(24)12-4-5-16(28)17(9-12)32-19-11-14(22(29)30)10-18(27-19)31-15-3-1-2-13(8-15)21-25-6-7-26-21/h1-11,28H,(H3,23,24)(H,25,26)(H,29,30)/p-1	ILFWHJBPGCBXAY-UHFFFAOYSA-M	
fbmYB@LDTFJ\`BLdTRRabRbTSNF|zMMTDCERd@@	1k4g	288.334	-0.1775	-3.387	7	4	208.32	147.48	none	none	none	20	0	3	Nc(cc12)cc(CSc3ncc[nH]3)c2N=C(N)NC1=O	InChI=1S/C12H12N6OS/c13-7-3-6(5-20-12-15-1-2-16-12)9-8(4-7)10(19)18-11(14)17-9/h1-4H,5,13H2,(H,15,16)(H3,14,17,18,19)	CEWKWXPCQGWWBM-UHFFFAOYSA-N	
en^\ELBFelVM@himhTZVPH`bHRBHnQ{FV^rJJJZKSZJIGJIQSYIQRsbRBHbZijjifjfic@qUHE@@	3gss	608.450	-6.2615	-4.221	13	3	437.41	257.83	none	none	high	39	3	18	CC[C@@H](CSC[C@@H](C(NCC([O-])=O)=O)NC(CC[C@@H](C([O-])=O)[NH3+])=O)C(c(c(Cl)c1Cl)ccc1OCC([O-])=O)=O	InChI=1S/C23H29Cl2N3O10S/c1-2-11(21(34)12-3-5-15(20(25)19(12)24)38-8-18(32)33)9-39-10-14(22(35)27-7-17(30)31)28-16(29)6-4-13(26)23(36)37/h3,5,11,13-14H,2,4,6-10,26H2,1H3,(H,27,35)(H,28,29)(H,30,31)(H,32,33)(H,36,37)/p-2/t11-,13-,14-/m0/s1	XJTHIRMZZQABBU-UBHSHLNASA-L	
eo`PD@@@HldTTbbftvQtVRbrThdTlhJbJJjjZfjcAAISjHUTt@	1kpm	426.682	9.1394	-6.74	2	1	371.42	29.46	none	none	high	31	3	10	CC(C)C/C=C/[C@@H](C)/C=C/C[C@@H](C)CCC[C@@](C)(CC1)Oc(c(C)c2C)c1c(C)c2O	InChI=1S/C29H46O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h9-10,13-14,20-22,30H,11-12,15-19H2,1-8H3/b13-9+,14-10?/t21-,22-,29+/m1/s1	XWEUBJMRTFCPGO-YWJRKTDSSA-N	
fewqBDNBTDDQr\bbbTRJrbbttrSIZLdhypPLUPPP@@`@@	1o5e	362.839	4.6394	-5.714	4	4	250.8	87.63	none	none	none	26	0	3	NC(c(cc(cc(-c(cccc1-c2ccccc2)c1O)[nH]1)c1c1)c1Cl)=[NH2+]	InChI=1S/C21H16ClN3O/c22-17-11-18-13(9-16(17)21(23)24)10-19(25-18)15-8-4-7-14(20(15)26)12-5-2-1-3-6-12/h1-11,25-26H,(H3,23,24)/p+1	FEKRWNWZMOSVBX-UHFFFAOYSA-O	
flui@BBBeEH@]F\bbbRaRRRtYqVg^`HFh@f@@@	1o33	253.264	-0.6607	-1.842	6	3	174.32	116.24	none	none	none	19	0	2	NC(c(cc1)cc2c1[nH]c(-c(nccc1)c1[O-])n2)=[NH2+]	InChI=1S/C13H11N5O/c14-12(15)7-3-4-8-9(6-7)18-13(17-8)11-10(19)2-1-5-16-11/h1-6,19H,(H3,14,15)(H,17,18)	FQCDQFDJHSXQKY-UHFFFAOYSA-N	
fmwhR@LZlgLDCf@HrRPjIIQSIZIVJIS`ifmZ``B@bff``PK@	2qg0	389.435	0.0221	-2.924	9	3	283.06	144.68	none	none	high	27	0	5	Cc1cc(CNS(c2cc(N/C=C(\CCO3)/C3=O)ccc2)(=O)=O)nc(N)n1	InChI=1S/C17H19N5O4S/c1-11-7-14(22-17(18)21-11)10-20-27(24,25)15-4-2-3-13(8-15)19-9-12-5-6-26-16(12)23/h2-4,7-9,19-20H,5-6,10H2,1H3,(H2,18,21,22)	VCOKUBHAJVTVNG-UHFFFAOYSA-N	
eg`XMHDMlNICG@hljck`@cZ[nRfUf]Y{wm]aMODiejjjjjjj`@fhd`aBh`bTfblgdR`@	2f2h	449.432	-1.8221	-1.998	12	6	295.54	220.19	none	none	none	30	9	6	[O-][N+](c(cc1)ccc1O[C@@H]([C@@H]([C@H]1O)O)O[C@H](CS[C@H]([C@@H]([C@H]2O)O)OC[C@H]2O)[C@H]1O)=O	InChI=1S/C17H23NO11S/c19-9-5-27-17(15(24)11(9)20)30-6-10-12(21)13(22)14(23)16(29-10)28-8-3-1-7(2-4-8)18(25)26/h1-4,9-17,19-24H,5-6H2/t9-,10+,11+,12+,13+,14-,15+,16+,17+/m0/s1	HQYVHBCTLFPWRQ-OWNDQUJOSA-N	
do\IcHSBz]mp|Lxn_lddqTtttZjjj[F`qT@	1g98	243.084	-10.743	2.015	9	3	157.92	183.05	none	none	none	15	3	6	[O-]C([C@H]([C@@H]([C@@H](COP([O-])([O-])=O)O)O)O)=O	InChI=1S/C5H11O9P/c6-2(1-14-15(11,12)13)3(7)4(8)5(9)10/h2-4,6-8H,1H2,(H,9,10)(H2,11,12,13)/p-3/t2-,3-,4+/m1/s1	HNECGPFIYSOYHF-JJYYJPOSSA-K	
fdyhb@LJLFLD@BLddlRVRbRPi^Bm@AP@P@@@	1jsv	265.296	0.4163	-3.215	7	3	187.62	132.37	none	none	none	18	0	3	Nc1cc(Nc(cc2)ccc2S(N)(=O)=O)ncn1	InChI=1S/C10H11N5O2S/c11-9-5-10(14-6-13-9)15-7-1-3-8(4-2-7)18(12,16)17/h1-6H,(H2,12,16,17)(H3,11,13,14,15)	FVFVVRPJERUECT-UHFFFAOYSA-N	
dcMHBDXFeIfY^FVjjjhr@@	1n1m	171.263	-2.7512	-1.152	3	1	140.34	47.95	none	none	none	12	1	2	CC(C)[C@@H](C(N1CCCC1)=O)[NH3+]	InChI=1S/C9H18N2O/c1-7(2)8(10)9(12)11-5-3-4-6-11/h7-8H,3-6,10H2,1-2H3/p+1/t8-/m0/s1	IHBAVXVTGLANPI-QMMMGPOBSA-O	
en]\BDHLG@hDAi`@`hHBgIICEEDdheEhUiDkELdekLo@ncdZRVUj`jBhB`V`@@@HABaRP@	2pqz	562.733	3.7414	-3.859	7	1	404.58	108.13	none	none	none	39	2	8	O=S(c1ccccc1)(N(Cc1ccccc1)[C@@H](C[NH2+]C1)[C@H]1N(Cc1ccccc1)S(c1ccccc1)(=O)=O)=O	InChI=1S/C30H31N3O4S2/c34-38(35,27-17-9-3-10-18-27)32(23-25-13-5-1-6-14-25)29-21-31-22-30(29)33(24-26-15-7-2-8-16-26)39(36,37)28-19-11-4-12-20-28/h1-20,29-31H,21-24H2/p+1/t29-,30-/m0/s1	FEURULQIDNOEMF-KYJUHHDHSA-O	
eh\XLJHAN@h`HaRH^dOi@FPb{HhheDmCDheCDdeLYFIAmekhHFJjf`@@Hj@`tP@	1nhu	495.303	3.6985	-6.12	4	0	346.43	60.44	none	none	none	33	1	8	[O-]C([C@H](Cc1ccccc1)N(Cc1cc(C(F)(F)F)ccc1)C(c(ccc(Cl)c1)c1Cl)=O)=O	InChI=1S/C24H18Cl2F3NO3/c25-18-9-10-19(20(26)13-18)22(31)30(14-16-7-4-8-17(11-16)24(27,28)29)21(23(32)33)12-15-5-2-1-3-6-15/h1-11,13,21H,12,14H2,(H,32,33)/p-1/t21-/m0/s1	LAJJKGIZTCCOHY-NRFANRHFSA-M	
fj}I@@DLuXFQQQPkJISSIBe[vRmUMTu@@h@@	2ojg	280.330	1.4444	-2.744	5	2	223.25	64.78	none	none	none	21	0	3	CN(C)C(c1cc(-c([nH]nc2)c2-c2ccccc2)c[nH]1)=O	InChI=1S/C16H16N4O/c1-20(2)16(21)14-8-12(9-17-14)15-13(10-18-19-15)11-6-4-3-5-7-11/h3-10,17H,1-2H3,(H,18,19)	OPBUUQBZKJSWTN-UHFFFAOYSA-N	
figi@DDXktXNsdTRTbRRbbrnRfoFBZNRmUUUATASUFESRM@@	1ejn	342.465	2.1415	-4.073	6	5	241.2	104.77	none	none	none	25	0	4	NC(Nc1ccc(CNC(NC2(C[C@H](C3)C4)C[C@H]4C[C@H]3C2)=O)cc1)=[NH2+]	InChI=1S/C19H27N5O/c20-17(21)23-16-3-1-12(2-4-16)11-22-18(25)24-19-8-13-5-14(9-19)7-15(6-13)10-19/h1-4,13-15H,5-11H2,(H4,20,21,23)(H2,22,24,25)/p+1	YQPLKJCBEOVDBS-UHFFFAOYSA-O	
deth@DkiAIeeVxYZiZd@@	1vfn	136.114	-0.8734	-1.568	5	2	102.06	70.14	none	none	none	10	0	0	O=C1NC=Nc2c1[nH]cn2	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	FDGQSTZJBFJUBT-UHFFFAOYSA-N	
dklLbBhpdJ{HhhcDeeveh@HBD`	1mfi	181.142	-0.4134	-2.216	3	1	135.95	60.36	none	none	none	13	0	2	[O-]C(/C(/F)=C\c(cc1)ccc1O)=O	InChI=1S/C9H7FO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-5,11H,(H,12,13)/p-1	SBIZDOWXYPNTOJ-UHFFFAOYSA-M	
dg]BBDhAvzeIgeg^UZjjjhbcRTl@	1jak	205.233	-2.2183	-0.068	6	5	145.78	106.4	none	none	none	14	4	2	CC(N[C@H]([C@H]1O)[NH2+]C[C@H](CO)[C@@H]1O)=O	InChI=1S/C8H16N2O4/c1-4(12)10-8-7(14)6(13)5(3-11)2-9-8/h5-9,11,13-14H,2-3H2,1H3,(H,10,12)/p+1/t5-,6+,7-,8+/m0/s1	IWVRQJNSUOIUFV-FKSUSPILSA-O	
fcDP@DXtZvQs@II\bbbbbQRRabffVcIF]UlumUSUSTsUULh@@	2iuz	386.371	-0.5214	-1.904	12	0	270.7	116.88	none	none	none	28	0	3	Cn1c(C(N(CCN(C(c2c(N3C)ncn2C)=O)C3=O)C(N2C)=O)=O)c2nc1	InChI=1S/C16H18N8O4/c1-19-7-17-11-9(19)13(25)23(15(27)21(11)3)5-6-24-14(26)10-12(18-8-20(10)2)22(4)16(24)28/h7-8H,5-6H2,1-4H3	DHOOHIKQTUGDOW-UHFFFAOYSA-N	
fegH`DDXrT@\sdTRTTRRVrRbaRtzwasZh@@@jX@@@@@	1bjv	347.397	3.4673	-5.21	6	4	255.53	101.97	none	none	none	26	0	5	NC(c(cc1)ccc1NC(Nc(cc1)ccc1Oc1ccccc1)=O)=[NH2+]	InChI=1S/C20H18N4O2/c21-19(22)14-6-8-15(9-7-14)23-20(25)24-16-10-12-18(13-11-16)26-17-4-2-1-3-5-17/h1-13H,(H3,21,22)(H2,23,24,25)/p+1	ZHCAYBOLUMAUQX-UHFFFAOYSA-O	
fbmpbDL^sA@@ctyIHXhheDcD]^]ENUj`j@`BBED@	1ydr	292.382	0.816	-1.875	5	1	205.78	75.26	none	none	none	20	1	1	C[C@@H](C[NH2+]CC1)N1S(c1cccc2cnccc12)(=O)=O	InChI=1S/C14H17N3O2S/c1-11-9-16-7-8-17(11)20(18,19)14-4-2-3-12-10-15-6-5-13(12)14/h2-6,10-11,16H,7-9H2,1H3/p+1/t11-/m0/s1	BDVFVCGFMNCYPV-NSHDSACASA-O	
f`q@pB@HuYwd]{dfzUV~djVfjfjijIaBTdi@@	2cht	226.183	-5.6451	-1.033	6	1	155.34	109.72	none	none	none	16	4	2	[O-]C([C@H](C[C@@](C1)(C=C2)C([O-])=O)O[C@H]1[C@@H]2O)=O	InChI=1S/C10H12O6/c11-5-1-2-10(9(14)15)3-6(5)16-7(4-10)8(12)13/h1-2,5-7,11H,3-4H2,(H,12,13)(H,14,15)/p-2/t5-,6+,7-,10-/m0/s1	KRZHNRULRHECRF-XIVUIJJLSA-L	
edVRDHHLEKMmD`@cZ\dTTRRTRVabbrbvtrQEBccPrqpLMRuTwPLA@QUUA@@@	2o0u	473.619	2.4399	-6.161	6	2	377.47	105.88	none	high	none	34	0	5	N#Cc1c(NC(c2cccc3ccccc23)=O)sc(C2)c1CCN2C(CC[NH+]1CCCCC1)=O	InChI=1S/C27H28N4O2S/c28-17-23-21-11-16-31(25(32)12-15-30-13-4-1-5-14-30)18-24(21)34-27(23)29-26(33)22-10-6-8-19-7-2-3-9-20(19)22/h2-3,6-10H,1,4-5,11-16,18H2,(H,29,33)/p+1	PRZGSWGFNRYBIP-UHFFFAOYSA-O	
fbuAQBF^BgHLP`PGl|dsMrjl|SehsUHTDpt@@@	2h4k	355.164	-1.4572	-4.373	5	0	221.91	117.73	none	none	none	20	0	5	[O-]C(COc1c(C([O-])=O)sc(-c2ccccc2)c1Br)=O	InChI=1S/C13H9BrO5S/c14-9-10(19-6-8(15)16)12(13(17)18)20-11(9)7-4-2-1-3-5-7/h1-5H,6H2,(H,15,16)(H,17,18)/p-2	MVDWLRCTJUXCCB-UHFFFAOYSA-L	
fluI@DNBbdDYRYeg]WYdeZ]zBAb`BX@@@	1gi1	253.284	1.8272	-2.945	5	4	174.38	100.52	none	none	none	19	0	2	NC(c(cc1)cc2c1nc(-c(cccc1)c1O)[nH]2)=[NH2+]	InChI=1S/C14H12N4O/c15-13(16)8-5-6-10-11(7-8)18-14(17-10)9-3-1-2-4-12(9)19/h1-7,19H,(H3,15,16)(H,17,18)/p+1	URJKRCBBKTXOHS-UHFFFAOYSA-O	
fbuiBDNBCENPAGIrQIQJIQJHqJ|zMTEASERP@@	1q65	294.402	-1.663	-2.821	6	4	236.61	123.24	none	none	none	20	0	5	C[NH+](C)CCSCc(cc(cc12)N)c2N=C(N)NC1=O	InChI=1S/C13H19N5OS/c1-18(2)3-4-20-7-8-5-9(14)6-10-11(8)16-13(15)17-12(10)19/h5-6H,3-4,7,14H2,1-2H3,(H3,15,16,17,19)/p+1	FDIXHXDLCOSDFY-UHFFFAOYSA-O	
fhipPBDXlAW`vdOYEEDhddhxsfcMUMMTuPd`@	1syi	239.230	-3.0687	-1.348	7	2	167.23	117.18	none	none	none	17	1	3	[NH3+][C@@H](CN(C(CCC1)=C1C(N1)=O)C1=O)C([O-])=O	InChI=1S/C10H13N3O4/c11-6(9(15)16)4-13-7-3-1-2-5(7)8(14)12-10(13)17/h6H,1-4,11H2,(H,15,16)(H,12,14,17)/t6-/m0/s1	VSGUEKZRMJVQOH-LURJTMIESA-N	
fegIP@DTTDEV}FdrsJjoMjmIQoQRuRCAQUUSQDlgRJR`@	2j47	360.369	-0.7601	0.156	9	5	260.97	136.71	high	none	none	26	4	4	CC(N[C@H]([C@H]1O)c2nc(C(Nc3ccccc3)=O)cn2[C@H](CO)[C@H]1O)=O	InChI=1S/C17H20N4O5/c1-9(23)18-13-15(25)14(24)12(8-22)21-7-11(20-16(13)21)17(26)19-10-5-3-2-4-6-10/h2-7,12-15,22,24-25H,8H2,1H3,(H,18,23)(H,19,26)/t12-,13-,14+,15+/m1/s1	LVBUDMVWXFSTOH-KBXIAJHMSA-N	
fakh`@LTcUhDILm{Lk|kIFV|VkUSAAd@EP@`r@	2qg2	321.339	2.2699	-3.278	7	1	257.95	93.7	high	high	none	24	0	3	Cc1cc(C#Cc2c(/C=N/N(CCO3)C3=O)cccc2)nc(N)n1	InChI=1S/C17H15N5O2/c1-12-10-15(21-16(18)20-12)7-6-13-4-2-3-5-14(13)11-19-22-8-9-24-17(22)23/h2-5,10-11H,8-9H2,1H3,(H2,18,20,21)	DAAUROFCVIRKRJ-UHFFFAOYSA-N	
fdia@`NLAD^d@rDYCHeHiUDeeHZuUM@AU@@@	2i80	279.688	3.6794	-3.744	2	1	196.04	29.1	high	high	low	18	0	4	CC(C)(CCl)C(Nc1ccc(C(F)(F)F)cc1)=O	InChI=1S/C12H13ClF3NO/c1-11(2,7-13)10(18)17-9-5-3-8(4-6-9)12(14,15)16/h3-6H,7H2,1-2H3,(H,17,18)	QCQZFHOGRCQNIH-UHFFFAOYSA-N	
fcoh`DDTuxXCCgHheDhdh]ELdhlmIUQkvuUUSUA@@A@cDl`@	1qbv	382.486	-1.6458	-2.199	7	4	292.11	101.6	none	none	none	28	2	8	N[C@H](Cc1ccccc1)C(N(CCC1)[C@@H]1C(NCCNc1cc[nH+]cc1)=O)=O	InChI=1S/C21H27N5O2/c22-18(15-16-5-2-1-3-6-16)21(28)26-14-4-7-19(26)20(27)25-13-12-24-17-8-10-23-11-9-17/h1-3,5-6,8-11,18-19H,4,7,12-15,22H2,(H,23,24)(H,25,27)/p+1/t18-,19+/m1/s1	GEIDRYBJURDUSW-MOPGFXCFSA-O	
